USER_ID,AGE,GENDER
1,28,M
2,19,M
3,40,F
4,62,F
5,47,F
6,22,M
7,53,F
8,44,F
9,19,F
10,41,M
11,44,M
12,31,F
13,25,F
14,23,M
15,29,M
16,40,M
17,18,F
18,49,M
19,19,F
20,33,M
21,31,M
22,24,M
23,34,M
24,20,M
25,25,F
26,27,M
27,42,M
28,28,M
29,22,F
30,50,F
31,29,F
32,42,M
33,29,M
34,19,M
35,43,M
36,56,M
37,49,F
38,44,F
39,31,F
40,55,M
41,31,F
42,37,M
43,47,M
44,37,M
45,33,M
46,50,F
47,57,M
48,23,F
49,19,F
50,54,F
51,41,F
52,24,M
53,28,F
54,53,F
55,30,M
56,40,F
57,29,F
58,22,M
59,41,M
60,35,F
61,53,M
62,46,F
63,18,F
64,47,M
65,41,F
66,24,M
67,34,F
68,33,M
69,48,F
70,20,F
71,24,M
72,30,M
73,51,F
74,18,F
75,57,F
76,26,F
77,34,F
78,25,M
79,28,F
80,26,M
81,23,F
82,43,M
83,24,M
84,47,F
85,27,M
86,50,F
87,37,M
88,18,F
89,32,M
90,40,F
91,53,M
92,29,M
93,39,M
94,44,F
95,41,F
96,32,M
97,53,F
98,39,M
99,39,F
100,39,F
101,53,M
102,38,F
103,23,M
104,54,M
105,36,F
106,48,M
107,25,F
108,43,M
109,21,F
110,40,F
111,43,M
112,22,F
113,30,F
114,43,F
115,35,F
116,41,M
117,35,M
118,37,M
119,55,M
120,39,M
121,43,M
122,27,F
123,61,F
124,44,M
125,20,F
126,27,F
127,20,M
128,48,F
129,46,F
130,43,M
131,42,F
132,20,F
133,27,M
134,36,F
135,37,M
136,61,M
137,72,M
138,21,F
139,27,F
140,43,F
141,37,F
142,19,M
143,22,M
144,18,F
145,25,M
146,39,M
147,21,F
148,36,M
149,29,F
150,31,M
151,26,M
152,43,F
153,39,F
154,27,M
155,30,F
156,46,F
157,38,M
158,39,M
159,23,M
160,34,F
161,44,M
162,43,F
163,32,M
164,59,F
165,52,F
166,45,F
167,38,F
168,27,M
169,52,M
170,30,M
171,19,F
172,41,F
173,36,M
174,50,F
175,35,F
176,29,F
177,34,M
178,25,M
179,34,F
180,38,M
181,25,M
182,19,F
183,24,M
184,19,M
185,38,M
186,38,M
187,22,M
188,30,F
189,32,F
190,63,F
191,26,M
192,18,F
193,55,M
194,43,M
195,58,M
196,47,F
197,40,F
198,53,M
199,28,F
200,33,M
201,19,F
202,33,M
203,81,M
204,42,M
205,46,F
206,50,M
207,46,F
208,35,F
209,50,F
210,39,M
211,48,F
212,32,M
213,50,F
214,51,M
215,25,M
216,18,F
217,32,F
218,43,F
219,25,F
220,35,F
221,41,F
222,22,M
223,42,F
224,21,F
225,42,M
226,47,F
227,56,F
228,30,F
229,20,F
230,69,F
231,42,M
232,26,M
233,26,F
234,21,M
235,24,F
236,24,M
237,43,F
238,40,M
239,40,M
240,19,F
241,42,F
242,26,F
243,40,M
